target_period,agriculture_2023_1,agriculture_2023_2,agriculture_2023_3,agriculture_2023_4,agriculture_2023_5,agriculture_2023_6,agriculture_2023_7,agriculture_2023_8,agriculture_2023_9,agriculture_2023_10,agriculture_2023_11,agriculture_2023_12,agriculture_2024_1,agriculture_2024_2,agriculture_2024_3,agriculture_2024_4,agriculture_2024_5,agriculture_2024_6,commerce_2023_1,commerce_2023_2,commerce_2023_3,commerce_2023_4,commerce_2023_5,commerce_2023_6,commerce_2023_7,commerce_2023_8,commerce_2023_9,commerce_2023_10,commerce_2023_11,commerce_2023_12,commerce_2024_1,commerce_2024_2,commerce_2024_3,commerce_2024_4,commerce_2024_5,commerce_2024_6,construction_2023_1,construction_2023_2,construction_2023_3,construction_2023_4,construction_2023_5,construction_2023_6,construction_2023_7,construction_2023_8,construction_2023_9,construction_2023_10,construction_2023_11,construction_2023_12,construction_2024_1,construction_2024_2,construction_2024_3,construction_2024_4,construction_2024_5,construction_2024_6,electricity_2023_1,electricity_2023_2,electricity_2023_3,electricity_2023_4,electricity_2023_5,electricity_2023_6,electricity_2023_7,electricity_2023_8,electricity_2023_9,electricity_2023_10,electricity_2023_11,electricity_2023_12,electricity_2024_1,electricity_2024_2,electricity_2024_3,electricity_2024_4,electricity_2024_5,electricity_2024_6,fishing_2023_1,fishing_2023_2,fishing_2023_3,fishing_2023_4,fishing_2023_5,fishing_2023_6,fishing_2023_7,fishing_2023_8,fishing_2023_9,fishing_2023_10,fishing_2023_11,fishing_2023_12,fishing_2024_1,fishing_2024_2,fishing_2024_3,fishing_2024_4,fishing_2024_5,fishing_2024_6,gdp_2023_1,gdp_2023_2,gdp_2023_3,gdp_2023_4,gdp_2023_5,gdp_2023_6,gdp_2023_7,gdp_2023_8,gdp_2023_9,gdp_2023_10,gdp_2023_11,gdp_2023_12,gdp_2024_1,gdp_2024_2,gdp_2024_3,gdp_2024_4,gdp_2024_5,gdp_2024_6,manufacturing_2023_1,manufacturing_2023_2,manufacturing_2023_3,manufacturing_2023_4,manufacturing_2023_5,manufacturing_2023_6,manufacturing_2023_7,manufacturing_2023_8,manufacturing_2023_9,manufacturing_2023_10,manufacturing_2023_11,manufacturing_2023_12,manufacturing_2024_1,manufacturing_2024_2,manufacturing_2024_3,manufacturing_2024_4,manufacturing_2024_5,manufacturing_2024_6,mining_2023_1,mining_2023_2,mining_2023_3,mining_2023_4,mining_2023_5,mining_2023_6,mining_2023_7,mining_2023_8,mining_2023_9,mining_2023_10,mining_2023_11,mining_2023_12,mining_2024_1,mining_2024_2,mining_2024_3,mining_2024_4,mining_2024_5,mining_2024_6,services_2023_1,services_2023_2,services_2023_3,services_2023_4,services_2023_5,services_2023_6,services_2023_7,services_2023_8,services_2023_9,services_2023_10,services_2023_11,services_2023_12,services_2024_1,services_2024_2,services_2024_3,services_2024_4,services_2024_5,services_2024_6
2017m5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017m6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017m7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017m8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017m9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017m10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017m11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017m12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018m1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018m5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018m6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018m7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018m8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018m9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018m10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018m11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018m12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019m1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019m5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019m6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019m7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019m8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019m9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019m10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019m11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019m12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020m1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020m5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020m6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020m7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020m8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020m9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020m10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020m11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020m12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021m1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021m5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021m6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021m7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021m8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021m9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021m10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021m11,3.2,,,,,,,,,,,,,,,,,,3.8,,,,,,,,,,,,,,,,,,-5.6,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,18.3,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,-5.2,,,,,,,,,,,,,,,,,,7.2,,,,,,,,,,,,,,,,,
2021m12,10.0,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,-8.9,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,-10.0,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,,,,2.6,,,,,,,,,,,,,,,,,,-5.4,,,,,,,,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,
2022m1,5.3,7.0,7.0,,,,,,,,,,,,,,,,2.3,2.3,2.3,,,,,,,,,,,,,,,,-0.6,-0.6,-0.6,,,,,,,,,,,,,,,,3.3,3.3,3.3,,,,,,,,,,,,,,,,-34.1,-28.9,-28.9,,,,,,,,,,,,,,,,2.9,3.0,3.0,,,,,,,,,,,,,,,,-1.6,-1.6,-1.6,,,,,,,,,,,,,,,,4.5,4.5,4.5,,,,,,,,,,,,,,,,4.1,4.1,4.1,,,,,,,,,,,,,,,
2022m2,2.6,2.9,2.9,2.9,,,,,,,,,,,,,,,7.5,7.5,7.5,7.5,,,,,,,,,,,,,,,-2.5,-2.4,-2.4,-2.4,,,,,,,,,,,,,,,4.3,4.3,4.3,4.3,,,,,,,,,,,,,,,-31.2,-24.0,-24.0,-24.0,,,,,,,,,,,,,,,4.8,4.9,4.9,4.9,,,,,,,,,,,,,,,2.7,2.7,2.7,2.7,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,
2022m3,4.2,4.9,4.9,4.9,4.9,,,,,,,,,,,,,,8.1,8.1,8.1,8.1,8.1,,,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,,,,,,,,,,,,,,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,,,-34.0,-26.5,-26.5,-26.5,-26.5,,,,,,,,,,,,,,3.8,3.9,3.9,3.9,3.9,,,,,,,,,,,,,,4.2,4.2,4.2,4.2,4.1,,,,,,,,,,,,,,-1.0,-0.9,-0.9,-0.9,-0.9,,,,,,,,,,,,,,4.6,4.6,4.6,4.6,4.6,,,,,,,,,,,,,
2022m4,7.7,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,2.6,2.6,2.6,2.6,2.6,2.6,,,,,,,,,,,,,4.9,4.9,4.9,4.9,4.9,4.9,,,,,,,,,,,,,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,,-40.4,-36.6,-36.6,-36.6,-36.6,-36.6,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,3.2,3.2,3.2,3.2,3.2,3.2,,,,,,,,,,,,,-0.6,-0.7,-0.7,-0.7,-0.7,-0.7,,,,,,,,,,,,,5.2,5.3,5.3,5.3,5.3,5.3,,,,,,,,,,,,
2022m5,9.1,9.5,9.5,9.5,9.5,9.5,9.5,,,,,,,,,,,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,-19.1,-17.1,-17.1,-17.1,-17.1,-17.1,-17.1,,,,,,,,,,,,2.5,2.6,2.6,2.6,2.6,2.6,2.6,,,,,,,,,,,,1.7,1.7,1.7,1.7,1.7,1.7,1.7,,,,,,,,,,,,-6.0,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,,,,,,,,,,,,5.0,5.1,5.1,5.1,5.1,5.1,5.1,,,,,,,,,,,
2022m6,-0.3,-0.1,-0.1,-0.1,-0.2,-0.2,-0.2,-0.2,,,,,,,,,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,,,,,,5.1,5.2,5.2,5.2,5.2,5.2,5.2,5.2,,,,,,,,,,,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,,,,,,,,,,,15.1,18.4,18.4,18.4,18.4,18.4,18.4,19.6,,,,,,,,,,,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,,,,,,,,,,,5.9,5.5,5.5,5.5,5.5,5.5,5.5,5.3,,,,,,,,,,,3.1,3.2,3.2,3.2,3.2,3.2,3.2,3.2,,,,,,,,,,,2.7,2.7,2.7,2.7,2.8,2.8,2.8,2.8,,,,,,,,,,
2022m7,0.8,2.2,2.2,2.2,2.5,2.5,2.5,2.5,3.2,,,,,,,,,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,,1.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,,,,,,,,,,5.0,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,,,,,,,,,,29.0,35.2,35.2,35.2,35.2,35.2,35.2,37.3,37.3,,,,,,,,,,1.6,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,,,,,,,,,,2.4,2.4,2.4,2.4,2.1,2.1,2.1,2.3,2.3,,,,,,,,,,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.7,-5.6,-5.6,,,,,,,,,,2.7,2.6,2.6,2.6,2.7,2.7,2.7,2.6,2.5,,,,,,,,,
2022m8,4.5,6.0,6.0,6.0,5.9,5.9,5.9,5.9,6.1,6.1,,,,,,,,,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,,,,,,,,,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,,,,,,,,,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,,,,,,,,,-14.7,-4.9,-4.9,-4.9,-4.9,-4.9,-4.9,-0.5,-0.5,-0.5,,,,,,,,,1.7,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,-0.2,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,,,,,,,,,-4.9,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,-4.8,,,,,,,,,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1,,,,,,,,
